date,calibration_number,tree,genotype,state,leaf_number,leaf_temperature,cps
6/26/2015,4,A03,50-194,WA/IL,9,37,18525.4
6/26/2015,2,A10,199-586,WA/OK,9,38,11220.8
6/26/2015,2,A13,50-194,WA/IL,8,37,14893.4
6/26/2015,1,A19,199-586,WA/OK,9,37,5080.2
6/26/2015,2,B12,57-276,WA/MO,9,37,18407.8
6/26/2015,2,B13,50-194,WA/IL,10,37,20017.4
6/26/2015,2,B15,199-586,WA/OK,8,37,8745
6/26/2015,4,C02,49-177,WA/TX,9,37,20093.6
6/26/2015,4,C03,49-177,WA/TX,9,37,16416.8
6/26/2015,1,C17,199-586,WA/OK,9,38,7827.8
6/26/2015,1,C19,50-194,WA/IL,7,37,16781
6/26/2015,3,D06,199-586,WA/OK,9,37,15043.2
6/26/2015,2,D10,49-177,WA/TX,9,37,20750.8
6/26/2015,2,D14,49-177,WA/TX,9,37,17861.4
6/26/2015,2,D17,50-194,WA/IL,9,37,14873
6/26/2015,4,E03,57-276,WA/MO,9,37,27295.2
6/26/2015,3,E10,57-276,WA/MO,9,37,23067.6
6/26/2015,2,E14,180-372,WA/MN,9,37,15444.2
6/26/2015,1,E18,180-372,WA/MN,9,37,16626.6
6/26/2015,2,F16,57-276,WA/MO,9,37,18066.2
6/26/2015,1,F19,180-372,WA/MN,9,37,13321.6
6/26/2015,4,G06,49-177,WA/TX,9,37,19015.6
6/26/2015,3,G10,180-372,WA/MN,10,37,17073
6/26/2015,3,H08,180-372,WA/MN,8,37,17269.8
6/26/2015,3,H09,57-276,WA/MO,9,37,22670
