tree,genotype,state,month,year,vcmax,jmax,biomass,budbreak,branch_number
E14,180-372,WA/MN,june,2014,68.65704986,143.9941448,324.6918576,48,35
E18,180-372,WA/MN,june,2014,63.93729661,150.7939126,285.5844021,28,27
F19,180-372,WA/MN,june,2014,79.01473846,161.0822404,328.5100911,45,36
G10,180-372,WA/MN,june,2014,80.27625602,175.6159989,301.4803489,22,25
H8,180-372,WA/MN,june,2014,66.89413678,147.0516106,320.0295315,41,30
A10,199-586,WA/OK,june,2014,43.72571284,99.30530305,398.1420674,53,33
A19,199-586,WA/OK,june,2014,71.52573356,121.6346955,283.014875,48,19
B15,199-586,WA/OK,june,2014,79.80034569,155.4129579,366.621492,45,18
C17,199-586,WA/OK,june,2014,69.0254513,136.7805336,359.1694571,48,21
D6,199-586,WA/OK,june,2014,28.7748653,84.53681412,517.5706432,53,35
C2,49-177,WA/TX,june,2014,53.76623169,117.7060024,726.4529473,48,54
C3,49-177,WA/TX,june,2014,69.3045968,102.3830077,905.3959539,53,57
D10,49-177,WA/TX,june,2014,71.45273719,124.9274886,714.9666161,45,39
D14,49-177,WA/TX,june,2014,90.98810607,138.0249863,860.2801153,53,47
G6,49-177,WA/TX,june,2014,67.65252299,155.0450102,792.5111552,53,67
A13,50-194,WA/IL,june,2014,19.02673525,62.95927832,439.021714,48,24
A3,50-194,WA/IL,june,2014,76.59642202,131.8252466,382.4700597,66,39
B13,50-194,WA/IL,june,2014,92.96973027,142.7231791,558.2598521,73,49
C19,50-194,WA/IL,june,2014,65.84323316,134.8861673,523.082911,83,44
D17,50-194,WA/IL,june,2014,77.65277866,154.4622676,520.7178507,53,38
B12,57-276,WA/MO,june,2014,98.46049936,133.0380186,894.0939326,66,31
E10,57-276,WA/MO,june,2014,85.3217806,140.3555994,1446.179059,62,43
E3,57-276,WA/MO,june,2014,30.10750302,81.95491183,844.8562416,62,27
F16,57-276,WA/MO,june,2014,86.98621781,128.8919717,1099.782504,59,43
H9,57-276,WA/MO,june,2014,85.30899114,141.8334612,1438.06268,59,58
E14,180-372,WA/MN,july,2014,57.9262259,136.3203151,324.6918576,48,35
E18,180-372,WA/MN,july,2014,57.16868747,122.541633,285.5844021,28,27
F19,180-372,WA/MN,july,2014,65.60733371,152.5628272,328.5100911,45,36
G10,180-372,WA/MN,july,2014,62.90478718,139.5277919,301.4803489,22,25
H8,180-372,WA/MN,july,2014,73.26252359,145.5379249,320.0295315,41,30
A10,199-586,WA/OK,july,2014,35.78479429,97.85144673,398.1420674,53,33
A19,199-586,WA/OK,july,2014,65.4168967,118.5310842,283.014875,48,19
B15,199-586,WA/OK,july,2014,80.54652183,162.0070744,366.621492,45,18
C17,199-586,WA/OK,july,2014,64.96201641,129.4148219,359.1694571,48,21
D6,199-586,WA/OK,july,2014,74.17464295,141.3151923,517.5706432,53,35
C2,49-177,WA/TX,july,2014,92.59773711,202.4351417,726.4529473,48,54
C3,49-177,WA/TX,july,2014,75.72920734,133.9458154,905.3959539,53,57
D10,49-177,WA/TX,july,2014,53.42872432,102.9345859,714.9666161,45,39
D14,49-177,WA/TX,july,2014,97.25184712,165.1188924,860.2801153,53,47
G6,49-177,WA/TX,july,2014,97.93632821,208.0171227,792.5111552,53,67
A13,50-194,WA/IL,july,2014,77.08818404,140.2517641,439.021714,48,24
A3,50-194,WA/IL,july,2014,93.19832487,172.0130028,382.4700597,66,39
B13,50-194,WA/IL,july,2014,76.51797895,140.1918107,558.2598521,73,49
C19,50-194,WA/IL,july,2014,85.82762681,188.8300421,523.082911,83,44
D17,50-194,WA/IL,july,2014,89.44690548,237.6510408,520.7178507,53,38
B12,57-276,WA/MO,july,2014,90.93383464,140.5700929,894.0939326,66,31
E10,57-276,WA/MO,july,2014,116.098208,188.6635656,1446.179059,62,43
E3,57-276,WA/MO,july,2014,84.8469173,143.4609619,844.8562416,62,27
F16,57-276,WA/MO,july,2014,93.72619051,173.7424944,1099.782504,59,43
H9,57-276,WA/MO,july,2014,73.00881166,128.7215022,1438.06268,59,58
E14,180-372,WA/MN,september,2014,29.76646212,85.11244896,324.6918576,48,35
E18,180-372,WA/MN,september,2014,20.9707158,66.93611061,285.5844021,28,27
F19,180-372,WA/MN,september,2014,31.39151116,88.71695345,328.5100911,45,36
G10,180-372,WA/MN,september,2014,26.74495509,72.42192558,301.4803489,22,25
H8,180-372,WA/MN,september,2014,30.17968268,75.20283424,320.0295315,41,30
A10,199-586,WA/OK,september,2014,34.01355764,86.47463635,398.1420674,53,33
A19,199-586,WA/OK,september,2014,42.44608677,107.3526868,283.014875,48,19
B15,199-586,WA/OK,september,2014,45.53654918,105.7645737,366.621492,45,18
C17,199-586,WA/OK,september,2014,25.81631971,70.46607626,359.1694571,48,21
D6,199-586,WA/OK,september,2014,23.70986452,66.27951585,517.5706432,53,35
C2,49-177,WA/TX,september,2014,66.25006205,130.3988688,726.4529473,48,54
C3,49-177,WA/TX,september,2014,109.0717389,215.3525371,905.3959539,53,57
D10,49-177,WA/TX,september,2014,73.57480107,161.7440891,714.9666161,45,39
D14,49-177,WA/TX,september,2014,139.2873718,249.0598558,860.2801153,53,47
G6,49-177,WA/TX,september,2014,36.27108548,84.30959321,792.5111552,53,67
A13,50-194,WA/IL,september,2014,79.4078794,172.7455211,439.021714,48,24
A3,50-194,WA/IL,september,2014,55.35084498,113.241888,382.4700597,66,39
B13,50-194,WA/IL,september,2014,60.60936971,107.4895084,558.2598521,73,49
C19,50-194,WA/IL,september,2014,59.56117514,126.6219025,523.082911,83,44
D17,50-194,WA/IL,september,2014,60.50688297,127.4891882,520.7178507,53,38
B12,57-276,WA/MO,september,2014,83.5313358,156.8815009,894.0939326,66,31
E10,57-276,WA/MO,september,2014,64.42041458,127.7936945,1446.179059,62,43
E3,57-276,WA/MO,september,2014,62.00395597,117.7655723,844.8562416,62,27
F16,57-276,WA/MO,september,2014,77.33628805,162.7914994,1099.782504,59,43
H9,57-276,WA/MO,september,2014,80.89347202,167.0074649,1438.06268,59,58
