Week_of_Year,Weekly_month,Weekly_AirTC_Avg,Weekly_PAR_mmol_perDay,Weekly_PAR_mmol_perWeek,Weekly_Rain_mm_tot,Weekly_RH
0,1,7.612184799,29701.86725,207913.0708,10.668,44.29548302
1,1,12.27360739,46342.10646,324394.7452,0,32.06127232
2,1,12.50301786,50341.67375,352391.7162,0.254,32.22515377
3,1,13.30152083,52598.98234,368192.8764,0,23.07636136
4,2,12.36065132,41456.45788,290195.2052,60.198,49.82274764
5,2,12.74287773,59234.77339,414643.4137,0,38.1474752
6,2,16.81816419,67386.41191,471704.8833,0,27.37164608
7,2,15.98762649,66331.5473,464320.8311,0,24.06192039
8,3,13.47384137,62326.68531,436286.7972,14.224,44.81103182
9,3,13.69313021,75384.94959,527694.6472,24.13,40.23975446
10,3,15.55918701,44817.60443,313723.231,0,23.79112621
11,3,17.29708829,45927.80345,321494.6241,0,14.04190278
12,3,16.52698413,42116.74127,294817.1889,0,25.35044147
13,4,14.21719444,50467.03305,353269.2314,0,20.93677034
14,4,21.5236756,49378.13289,345646.9302,0,10.89777083
15,4,19.61549603,46771.34535,327399.4175,1.016,20.36460913
16,4,19.40727331,50136.44625,350955.1238,2.286,22.41292163
17,5,20.47980655,57054.43566,399381.0496,0,12.3540496
18,5,19.24897817,56625.71745,396380.0222,0,20.8807619
19,5,23.24540179,58167.0594,407169.4158,0,9.92471379
20,5,22.48594742,57102.47845,399717.3492,0,15.19263591
21,6,28.05675099,54005.51124,378038.5787,0,16.77166915
22,6,29.78821053,60687.35338,424811.4737,0,8.131150877
23,6,29.23884425,57476.13843,402332.969,0,17.5370873
24,6,28.59973214,59651.67452,417561.7217,0,18.7719246
25,6,29.4850496,61003.15798,427022.1058,0,16.93138393
26,7,28.31866567,53676.14327,375733.0029,24.13,36.01212302
27,7,26.74530439,44112.49707,308787.4795,23.368,49.2889521
28,7,27.09069444,50330.26129,352311.8291,2.032,40.26564484
29,7,29.75186012,52970.8466,370795.9262,16.764,32.7875496
30,8,27.20706349,44565.44749,311958.1324,51.058,47.28809524
31,8,27.65789187,52615.1471,368306.0297,1.27,34.78568452
32,8,26.16326885,42323.03399,296261.2379,30.988,54.44775298
33,8,24.03793651,44469.86741,311289.0719,15.494,56.49549107
34,8,26.64044643,46627.04936,326389.3455,26.924,41.64298611
35,9,27.18054067,45544.56705,318811.9694,13.208,39.7456002
36,9,25.67360334,57954.02405,405678.1684,43.688,49.2282964
37,9,25.48602679,69321.81804,485252.7263,21.59,49.08361855
38,9,24.01038311,81642.36103,571496.5272,9.398,38.03341413
39,10,22.17796131,85155.85077,596090.9554,0,23.79184301
40,10,19.85113343,64982.5449,454877.8143,35.814,42.37832341
41,10,19.60730655,70151.26851,491058.8795,1.778,25.78645982
42,10,21.90807292,67931.19105,475518.3373,0,26.91127555
43,11,18.35609598,61897.91641,433285.4148,0,34.21019196
44,11,16.74172793,62385.80211,436700.6148,5.334,31.1820816
45,11,16.8200372,54538.07995,381766.5597,0,45.27080853
46,11,12.22880704,43918.48571,307429.3999,56.134,42.18657267
47,12,13.46946677,49095.15513,343666.0859,0,28.83696181
48,12,11.3076599,36319.65367,254237.5757,35.814,52.36534837
49,12,11.23564881,43314.02445,303198.1711,17.78,45.24625496
50,12,9.775567708,38167.83242,267174.8269,45.212,55.41734871
51,12,8.836425595,47875.72581,335130.0807,1.778,33.81477927
52,12,9.010884722,16233.92261,113637.4583,8.89,30.74731042
